0.005, 3035, 2240
0.01, 2844, 2492
0.015, 2320, 2299
0.02, 2366, 2450
0.025, 2196, 2378
0.03, 2284, 2149
0.035, 2372, 2147
0.04, 2463, 2171
0.045, 2361, 2226
0.05, 2442, 2209
0.055, 2187, 2246
0.06, 2428, 2109
0.065, 2377, 2159
0.07, 2259, 2203
0.075, 2264, 2195
0.08, 2234, 2235
0.085, 2211, 2169
0.09, 2234, 2156
0.095, 2366, 2147
0.1, 2326, 2219
0.105, 2221, 2167
0.11, 2199, 2123
0.115, 2196, 2136
0.12, 2259, 2175
0.125, 2244, 2103
0.13, 2291, 2168
0.135, 2396, 2113
0.14, 2214, 2150
0.145, 2197, 2144
0.15, 2253, 2171
0.155, 2188, 2202
0.16, 2214, 2197
0.165, 2399, 2528
0.17, 2640, 2170
0.175, 2412, 2256
0.18, 2770, 3900
