points, bw, hilbert, xsort
5000, 22662, 17420, 24137
5000, 18879, 14884, 24311
5000, 19183, 15129, 24105
5000, 19293, 15543, 24141
5000, 19099, 15186, 24025
5000, 19257, 15148, 24257
5000, 19131, 14934, 24147
10000, 59439, 34732, 59909
10000, 57726, 33968, 60421
10000, 57774, 34450, 60703
10000, 56369, 34021, 61087
10000, 57224, 33870, 60393
10000, 57680, 34006, 60469
10000, 57354, 34285, 60636
15000, 118712, 54853, 103458
15000, 114982, 54488, 104082
15000, 116990, 53328, 113495
15000, 116074, 55028, 103717
15000, 113446, 53295, 103227
15000, 115330, 54922, 104110
15000, 113967, 55270, 104074
20000, 199751, 73531, 156901
20000, 196850, 73785, 155407
20000, 212315, 73840, 155949
20000, 195630, 74538, 152234
20000, 189207, 74343, 150012
20000, 185726, 74386, 150776
20000, 186102, 74436, 153592
25000, 273890, 95171, 206395
25000, 265197, 95758, 204872
25000, 260558, 95597, 206004
25000, 276021, 94470, 213429
25000, 270899, 94504, 210324
25000, 270769, 100262, 206722
25000, 275923, 94628, 210261
30000, 376091, 116530, 280052
30000, 378210, 116485, 280189
30000, 392570, 116171, 285196
30000, 386202, 117230, 284246
30000, 396916, 116128, 281540
30000, 393353, 116630, 284190
30000, 388932, 116585, 282461
35000, 513990, 133460, 360732
35000, 512851, 134615, 361863
35000, 513267, 133604, 362777
35000, 503858, 133867, 361975
35000, 506769, 135215, 361343
35000, 493875, 137088, 359189
35000, 514101, 137321, 363335
40000, 647923, 156316, 458066
40000, 652659, 155718, 454619
40000, 636071, 156877, 451081
40000, 651577, 154215, 454784
40000, 636448, 154233, 447834
40000, 642829, 153173, 449527
40000, 632766, 153592, 444590
45000, 781039, 173556, 549773
45000, 783622, 175336, 547532
45000, 791669, 174082, 550314
45000, 781220, 173715, 546247
45000, 787734, 173572, 546379
45000, 776459, 174602, 546878
45000, 792817, 172905, 549078
50000, 938343, 194615, 654138
50000, 921462, 192419, 657957
50000, 956673, 193673, 662256
50000, 941007, 192669, 657734
50000, 936075, 194567, 655930
50000, 946893, 196177, 655390
50000, 921124, 193476, 644036
55000, 1087537, 211974, 758778
55000, 1070502, 211536, 744428
55000, 1071849, 212895, 739915
55000, 1070958, 213454, 746417
55000, 1110772, 216971, 767104
55000, 1110311, 214633, 760392
55000, 1096744, 216832, 759555
60000, 1253610, 234219, 867852
60000, 1245675, 232184, 868260
60000, 1273795, 238337, 881185
60000, 1249467, 237870, 866320
60000, 1285283, 239225, 883143
60000, 1282593, 237737, 899390
60000, 1285505, 235903, 876165
65000, 1428545, 255208, 993508
65000, 1472705, 257537, 1012731
65000, 1462821, 256679, 1012170
65000, 1470309, 254371, 1006024
65000, 1455492, 254516, 1008645
65000, 1441511, 256021, 997621
65000, 1444568, 254651, 997001
70000, 1636260, 294759, 1115110
70000, 1667072, 274170, 1156928
70000, 1675554, 273042, 1149218
70000, 1661815, 274943, 1146523
70000, 1604878, 274970, 1142483
70000, 1669838, 275412, 1182870
70000, 1653656, 276653, 1182258
75000, 1884906, 296003, 1351931
75000, 1959748, 295232, 1333738
75000, 1933053, 295565, 1321142
75000, 1867372, 316261, 1311464
75000, 1861393, 293084, 1313704
75000, 1856894, 295275, 1333944
75000, 1851197, 294615, 1300661
80000, 2136740, 313902, 1487362
80000, 2099977, 314231, 1475722
80000, 2162899, 336143, 1444775
80000, 2041618, 316150, 1463883
80000, 2172013, 339585, 1455974
80000, 2067779, 338090, 1468402
80000, 2050142, 313099, 1452945
85000, 2278144, 358224, 1609677
85000, 2316358, 333279, 1636351
85000, 2305257, 334627, 1626914
85000, 2297367, 332780, 1634883
85000, 2198587, 333236, 1600811
85000, 2221514, 333083, 1618217
85000, 2231646, 356216, 1592765
90000, 2486943, 380301, 1776673
90000, 2522366, 384429, 1794817
90000, 2493970, 386564, 1791420
90000, 2463611, 353052, 1761421
90000, 2453399, 354975, 1748043
90000, 2512423, 355678, 1794991
90000, 2548099, 380795, 1749285
95000, 2729322, 402098, 1924450
95000, 2749256, 376329, 1969080
95000, 2759527, 377262, 1963484
95000, 2754873, 401501, 1941940
95000, 2832914, 375846, 1956506
95000, 2740610, 374386, 1972263
95000, 2704768, 372873, 1958084
100000, 2937937, 395773, 2118083
100000, 2975729, 396402, 2145472
100000, 2961096, 424246, 2109864
100000, 2975480, 397903, 2088518
100000, 2926321, 394734, 2091407
100000, 2898893, 424420, 2068368
100000, 2982074, 396826, 2121726
105000, 3293199, 447274, 2268467
105000, 3152382, 415856, 2268846
105000, 3161723, 446404, 2246686
105000, 3163421, 418149, 2293806
105000, 3237777, 448466, 2264125
105000, 3175824, 449965, 2278905
105000, 3216395, 417780, 2316360
110000, 3482011, 472710, 2479468
110000, 3429320, 473192, 2468879
110000, 3418442, 471139, 2445240
110000, 3300120, 440345, 2387369
110000, 3299446, 433110, 2390393
110000, 3206426, 457221, 2296797
110000, 3322412, 457620, 2263601
115000, 3283618, 469481, 2319131
115000, 3378556, 465425, 2276844
115000, 3338673, 469117, 2270776
115000, 3352481, 467192, 2274300
115000, 3425075, 474190, 2318567
115000, 3384439, 468363, 2295660
115000, 3394970, 466250, 2290079
120000, 3459544, 489255, 2440624
120000, 3507598, 486666, 2434214
120000, 3472102, 487119, 2440126
120000, 3473115, 459420, 2474227
120000, 3591020, 489796, 2468374
120000, 3530393, 486422, 2460039
120000, 3604702, 488094, 2478326
125000, 3803752, 510745, 2648636
125000, 3830875, 514782, 2637504
125000, 3869802, 510684, 2650391
125000, 3942658, 514493, 2676238
125000, 3838183, 512790, 2663323
